Property Name,Property Number,Site Name,Site ID,Borough,Community Board,Drinking Fountains
ALLEY POND PARK,Q001,Alley Pond Park Zone 2,Q001-ZN02,Q,411,5
ALLEY POND PARK,Q001,Alley Pond Park Zone 3,Q001-ZN03,Q,411,4
GROVER CLEVELAND PARK,Q002,Grover Cleveland Playground,Q002,Q,405,5
ASTORIA PARK,Q004,Charybdis Playground,Q004-01,Q,401,1
ASTORIA PARK,Q004,Astoria Park Zone 1,Q004-ZN01,Q,401,8
ASTORIA PARK,Q004,Astoria Park Zone 2,Q004-ZN02,Q,401,3
ASTORIA PARK,Q004,Astoria Park Zone 3,Q004-ZN03,Q,401,2
BAISLEY POND PARK,Q005,Sutphin Playground,Q005-01,Q,412,1
BAISLEY POND PARK,Q005,Lakeview Lane Playground,Q005-04,Q,412,1
BAISLEY POND PARK,Q005,157 St Playground,Q005-05,Q,412,3
BAISLEY POND PARK,Q005,Baisley Pond Park,Q005-06,Q,412,1
BAISLEY POND PARK,Q005,Baisley Park South,Q005-11,Q,412,2
BAISLEY POND PARK,Q005,Baisley Pond Park,Q005-12,Q,412,1
BAISLEY POND PARK,Q005,Baisley Pond Park Zone 1,Q005-ZN01,Q,412,3
BAISLEY POND PARK,Q005,Baisley Pond Park Zone 2,Q005-ZN02,Q,412,1
BAISLEY POND PARK,Q005,Baisley Pond Park Zone 3,Q005-ZN03,Q,412,2
BAISLEY POND PARK,Q005,Baisley Pond Park Zone 4,Q005-ZN04,Q,412,2
BAISLEY POND PARK,Q005,Baisley Pond Park Zone 5,Q005-ZN05,Q,412,3
BOWNE PARK,Q006,Bowne Park,Q006,Q,407,1
BOWNE PARK,Q006,Bowne Playground,Q006-01,Q,407,1
MICHAELIS-BAYSWATER PARK,Q007,Bayswater Park,Q007,Q,414,4
MICHAELIS-BAYSWATER PARK,Q007,Bayswater Playground,Q007-01,Q,414,5
BROOKVILLE PARK,Q008,Brookville Playground,Q008-01,Q,413,1
BROOKVILLE PARK,Q008,Brookville Park,Q008-02,Q,413,1
BROOKVILLE PARK,Q008,Brookville Park Zone 1,Q008-ZN01,Q,413,1
BROOKVILLE PARK,Q008,Brookville Park Zone 2,Q008-ZN02,Q,413,1
HERMAN A MACNEIL PARK,Q009,MacNeil Playground,Q009-01,Q,407,2
HERMAN A MACNEIL PARK,Q009,MacNeil Park Zone 1,Q009-ZN01,Q,407,1
LITTLE BAY PARK,Q010A,Little Bay Park Zone 1,Q010A-ZN01,Q,407,5
LITTLE BAY PARK,Q010A,Little Bay Park Zone 2,Q010A-ZN02,Q,407,4
POPPENHUSEN PLGD,Q011,Poppenhusen Playground,Q011,Q,407,2
CROCHERON PARK,Q012,Buz O'Rourke Playground,Q012-01,Q,411,1
JOHN GOLDEN PARK,Q012B,John Golden Park,Q012B,Q,411,3
CROCHERON PARK,Q012,Crocheron Park Zone 1,Q012-ZN01,Q,411,3
CROCHERON PARK,Q012,Crocheron Park Zone 3,Q012-ZN03,Q,411,3
VETERANS GROVE,Q013,Veterans Grove,Q013,Q,404,1
ASTORIA HEIGHTS PLGD,Q014,Astoria Heights Park,Q014,Q,401,3
FOREST PARK,Q015,Sobelsohn Park,Q015-02,Q,305-405-406-409,3
FOREST PARK,Q015,Jackson Pond Playground,Q015-03,Q,305-405-406-409,3
VAN NEST PARK,X093,Van Nest Park,X093,X,211,2
FOREST PARK,Q015,Joseph Devoy Playground,Q015-07,Q,305-405-406-409,2
FOREST PARK,Q015,Dry Harbor Playground,Q015-08,Q,305-405-406-409,4
FOREST PARK,Q015,Giovannelli Playground,Q015-09,Q,305-405-406-409,1
FOREST PARK,Q015,Mary Whalen Playground,Q015-10,Q,305-405-406-409,1
FOREST PARK,Q015,The Overlook,Q015-ZN01,Q,305-405-406-409,1
FOREST PARK,Q015,Victory Field,Q015-ZN04,Q,305-405-406-409,10
FOREST PARK,Q015,Carousel,Q015-ZN05,Q,305-405-406-409,2
FOREST PARK,Q015,The Bandshell,Q015-ZN06,Q,305-405-406-409,6
FOREST PARK,Q015,Tennis Courts - Forest Parkway,Q015-ZN07,Q,305-405-406-409,2
MARTINS FIELD PLGD,Q017,The Olde Towne of Flushing Burial Ground,Q017,Q,407,1
HIGHLAND PARK,Q020,Lower Highland Playground,Q020-01,Q,305-405,2
HIGHLAND PARK,Q020,Upper Highland Playground,Q020-02,Q,305-405,1
HIGHLAND PARK,Q020,Highland Park Zone 1,Q020-ZN01,Q,305-405,1
HIGHLAND PARK,Q020,Highland Park Zone 2,Q020-ZN02,Q,305-405,1
HIGHLAND PARK,Q020,Highland Park Zone 4,Q020-ZN04,Q,305-405,3
HIGHLAND PARK,Q020,Highland Park Zone 5,Q020-ZN05,Q,305-405,2
HIGHLAND PARK,Q020,Highland Park Zone 6,Q020-ZN06,Q,305-405,1
CUNNINGHAM PARK,Q021,Redwood Playground,Q021-02,Q,408,1
CUNNINGHAM PARK,Q021,210 St Playground,Q021-03,Q,408,2
MCLAUGHLIN PLGD,Q021B,McLaughlin Playground,Q021B,Q,408,1
CUNNINGHAM PARK,Q021,Cunningham Park Zone 1,Q021-ZN01,Q,408,2
CUNNINGHAM PARK,Q021,Cunningham Park Zone 2,Q021-ZN02,Q,408,9
CUNNINGHAM PARK,Q021,Cunningham Park Zone 3,Q021-ZN03,Q,408,12
CUNNINGHAM PARK,Q021,Cunningham Park Zone 4,Q021-ZN04,Q,408,2
CUNNINGHAM PARK,Q021,Cunningham Park Zone 5,Q021-ZN05,Q,408,2
CUNNINGHAM PARK,Q021,Cunningham Park Zone 6,Q021-ZN06,Q,408,2
WEEPING BEECH / CARMAN GREEN,Q022,Margaret I. Carman Green - Weeping Beech,Q022,Q,407,1
RUFUS KING PARK,Q023,Rufus King Park,Q023,Q,412,4
KISSENA PARK,Q024,Playground,Q024-02,Q,407,3
KISSENA PARK,Q024,Four Winds Playground,Q024-03,Q,407,2
KISSENA PARK,Q024,Playground,Q024-05,Q,407,1
KISSENA PARK,Q024,Kissena Park Zone 1,Q024-ZN01,Q,407,3
KISSENA PARK,Q024,Kissena Park Zone 2 (Tennis Courts),Q024-ZN02,Q,407,2
KISSENA PARK,Q024,Kissena Park Zone 3,Q024-ZN03,Q,407,4
PARK OF THE AMERICAS,Q026,Park Of The Americas,Q026,Q,404,3
LAURELTON PARKWAY,Q027,Laurelton Parkway West,Q027-02,Q,413,3
WILLIAM F MOORE PARK,Q029,William F Moore Park,Q029,Q,404,1
LAWRENCE VIRGILIO PLGD,Q031,Lawrence Virgilio Playground,Q031,Q,402,2
DOUGHBOY PLAZA,Q031A,Doughboy Plaza,Q031A,Q,402,1
BENNINGER PLAYGROUND,Q038,Benninger Playground,Q038,Q,405,2
NEWTOWN PLAYGROUND,Q041,Newtown Playground,Q041,Q,404,1
NOONAN PLAYGROUND,Q044,L/CPL Thomas P. Noonan Jr. Playground,Q044,Q,402,3
JOSEPHINE CAMINITI PLAYGROUND,Q046,Josephine Caminiti Playground,Q046,Q,404,1
RAINEY PARK,Q048,Rainey Park,Q048,Q,401,1
ROCKAWAY BEACH & BOARDWALK,Q050,Rockaway Beach 08a,Q050-ZN08A,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q050,Rockaway Beach 08b,Q050-ZN08B,Q,414,3
ROCKAWAY BEACH & BOARDWALK,Q050,Rockaway Beach 9,Q050-ZN09,Q,414,2
ST ALBANS MEMORIAL PARK,Q051,St. Albans Park,Q051,Q,412,4
ST ALBANS  PARK,Q051,174 St Playground,Q051-01,Q,412,1
CAPT TILLY MEMORIAL PARK,Q052,Captain Tilly Park,Q052,Q,408,1
EQUITY PARK,Q053,Equity Park,Q053,Q,409,1
SOHNCKE SQUARE,Q057,Sohncke Square,Q057,Q,402,1
CATHARINE TURNER RICHARDSON PK,Q059,Catharine Turner Richardson Park,Q059,Q,411,1
VINCENT DANIELS SQUARE,Q065,John Vincent Daniels Jr. Square,Q065,Q,402,1
TRIBOROUGH BRIDGE PLAYGROUND B,Q066B,Triborough Bridge Playground B,Q066B,Q,401,1
HOYT PLAYGROUND,Q066F,Hoyt Playground,Q066F,Q,401,3
HART PLGD,Q067A,Hart Playground,Q067A,Q,402,3
PLAUT TRIANGLE,Q073,Plaut Triangle,Q073,Q,407,1
WAYANDA PARK,Q082,Wayanda Park,Q082,Q,413,2
GORMAN PLGD,Q085,Gorman Playground,Q085,Q,403,1
MEMORIAL FIELD OF FLUSHING,Q086,Flushing Fields,Q086,Q,407,5
MEMORIAL FIELD OF FLUSHING,Q086,Leonardo Ingravallo Playground,Q086-01,Q,407,1
HARVEY PARK,Q089B,Harvey Park,Q089B,Q,407,3
GEORGE U HARVEY PLGD,Q089B,Harvey Playground,Q089B-01,Q,407,3
POL. OFFICER EDWARD BYRNE PARK,Q092,Police Officer Edward Byrne Park,Q092,Q,410,4
JOSEPH P ADDABBO MEMORIAL PK,Q094,Tudor Park,Q094,Q,410,6
JOSEPH P. ADDABBO PLAYGROUND,Q094,Addabbo Playground,Q094-01,Q,410,2
VITO LOCASCIO FIELD,Q095,Vito Locascio Field,Q095,Q,410,1
SOUTHERN PARKWAY BALLFIELDS,Q096B,Southern Fields,Q096B,Q,410,4
LEFFERTS PLGD,Q096E,Lefferts Playground,Q096E,Q,410,2
FRANK D. O'CONNOR PLAYGROUND,Q098,Frank D. O'Connor Playground,Q098,Q,404,3
FLUSHING MEADOWS PARK,Q099,World's Fair Playground,Q099-01,Q,403-404-406-407-408,3
FLUSHING MEADOWS PARK,Q099,Triassic Playground,Q099-15,Q,403-404-406-407-408,2
FLUSHING MEADOWS PARK,Q099,Jurassic Playground,Q099-16,Q,403-404-406-407-408,1
FLUSHING MEADOWS PARK,Q099,Lawrence Playground,Q099-17,Q,403-404-406-407-408,1
FLUSHING MEADOWS PARK,Q099,Playground For All Children,Q099-18,Q,403-404-406-407-408,4
FLUSHING MEADOWS PARK,Q099,Albert H. Mauro Playground,Q099-20,Q,403-404-406-407-408,3
FLUSHING MEADOWS PARK,Q099,Flushing Bay Promenade,Q099-ZN01,Q,403-404-406-407-408,7
FLUSHING MEADOWS PARK,Q099,Pavilion & Astral Fountain,Q099-ZN06,Q,403-404-406-407-408,4
FLUSHING MEADOWS PARK,Q099,Festival Sq & Garden Of Meditation,Q099-ZN07,Q,403-404-406-407-408,8
FLUSHING MEADOWS PARK,Q099,South Of Fountain Of The Planets,Q099-ZN08,Q,403-404-406-407-408,16
FLUSHING MEADOWS PARK,Q099,North Of Fountain Of The Planets,Q099-ZN09,Q,403-404-406-407-408,5
FLUSHING MEADOWS PARK,Q099,Putt-putt Golf Course & Allied Bldg,Q099-ZN10,Q,403-404-406-407-408,2
FLUSHING MEADOWS PARK,Q099,Unisphere,Q099-ZN12,Q,403-404-406-407-408,6
FLUSHING MEADOWS PARK,Q099,Reflecting Pool Lawns,Q099-ZN13,Q,403-404-406-407-408,4
FLUSHING MEADOWS PARK,Q099,North Lawn,Q099-ZN14,Q,403-404-406-407-408,3
FLUSHING MEADOWS PARK,Q099,South Lawn,Q099-ZN15,Q,403-404-406-407-408,2
FLUSHING MEADOWS PARK,Q099,College Point Blvd Soccer Fields,Q099-ZN17,Q,403-404-406-407-408,2
FLUSHING MEADOWS PARK,Q099,QN Wldlf Ctr-Terr On Park-NY Hall Of Sci,Q099-ZN18,Q,403-404-406-407-408,6
FLUSHING MEADOWS PARK,Q099,Ballfields,Q099-ZN19,Q,403-404-406-407-408,5
FLUSHING MEADOWS PARK,Q099,Meadow Lake North,Q099-ZN20,Q,403-404-406-407-408,5
FLUSHING MEADOWS PARK,Q099,Meadow Lake SE,Q099-ZN24,Q,403-404-406-407-408,2
FLUSHING MEADOWS PARK,Q099,Meadow Lake NE,Q099-ZN25,Q,403-404-406-407-408,6
MIDDLE VILLAGE PLAYGROUND,Q101,Middle Village Playground,Q101,Q,405,1
JUNIPER VALLEY PARK,Q102,Juniper North Playground Tennis,Q102-02,Q,405,3
JUNIPER VALLEY PARK,Q102,Juniper South Playground,Q102-03,Q,405,2
JUNIPER VALLEY PARK,Q102,Juniper Valley Park Zone 1,Q102-ZN01,Q,405,5
JUNIPER VALLEY PARK,Q102,Juniper Valley Park Zone 2,Q102-ZN02,Q,405,4
KENNEDY PLAYGROUND,Q103,Kennedy Playground,Q103,Q,411,1
QUEENSBRIDGE PARK,Q104,Queensbridge Park,Q104,Q,401-402,3
QUEENSBRIDGE PARK,Q104,Vernon Playground,Q104-01,Q,401-402,1
QUEENSBRIDGE PARK,Q104,"Queensbridge ""Baby"" Park",Q104-02,Q,401-402,1
HOWARD VON DOHLEN PLAYGROUND,Q105,Howard Von Dohlen Playground,Q105,Q,412,1
DANIEL M OCONNELL PLAYGROUND,Q106,Daniel M. O'Connell Playground,Q106,Q,412,3
SPRINGFIELD PARK,Q107,Springfield Park,Q107,Q,413,1
SPRINGFIELD PARK,Q107,Springfield Playground,Q107-01,Q,413,2
LAURELTON PLAYGROUND,Q108,Laurelton Playground,Q108,Q,413,1
P.O. NICHOLAS DEMUTIS PLGD,Q118,Police Officer Nicholas Demutiis Park,Q118,Q,410,2
FREDERICK B JUDGE MEMORIAL PLGD,Q119,Frederick B. Judge Playground,Q119,Q,410,2
HARVARD PLGD,Q120,Harvard Playground,Q120,Q,412,2
LIBERTY PARK,Q121,Detective Keith L Williams Park,Q121,Q,412,4
DET. KEITH L WILLIAMS PARK,Q121,173 St Playground (det. Williams),Q121-01,Q,412,1
DET. KEITH L WILLIAMS PARK,Q121,K.l. Williams Playground (Tennis),Q121-02,Q,412,3
JUNCTION PLGD,Q122,Junction Playground,Q122,Q,403,2
FRANCIS LEWIS PARK,Q126,Francis Lewis Park,Q126,Q,407,3
FRANCIS LEWIS PARK,Q126,Francis Lewis Playground,Q126-01,Q,407,4
MARCONI PARK,Q127,Marconi Park,Q127,Q,412,4
LONDON PLANETREE PLGD,Q128,London Planetree Playground,Q128,Q,409,2
SMOKEY OVAL,Q129,"Phil ""Scooter"" Rizzuto Park",Q129,Q,409,5
FRANK PRINCIPE PARK,Q131,Frank Principe Park,Q131,Q,405,8
PAT WILLIAMS PLGD,Q133,Pat Williams Playground,Q133,Q,413,1
Hempstead Ballfield,Q133A,Hempstead Ballfield,Q133A,Q,413,1
BREININGER PARK,Q134,Breininger Park,Q134,Q,413,3
MURRAY PLAYGROUND,Q141,Murray Playground,Q141,Q,402,3
BEACH 59TH ST PLGD,Q162E,Beach 59th St Playground,Q162E,Q,414,1
BEACH 30TH STREET PLAYGROUND,Q162H,Beach 30th Street Playground,Q162H,Q,414,7
BEACH 17TH ST PLGD,Q162J,Beach 17 Playground,Q162J,Q,414,10
BEACH 9 ST PLGD,Q162J01,Beach 9 Playground,Q162J01,Q,414,2
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 01a,Q162-ZN01A,Q,414,2
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 01b,Q162-ZN01B,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 02a,Q162-ZN02A,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 02b,Q162-ZN02B,Q,414,3
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 02c,Q162-ZN02C,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 03a,Q162-ZN03A,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 04a,Q162-ZN04A,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 04b,Q162-ZN04B,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q162,Rockaway Beach 04c,Q162-ZN04C,Q,414,3
ROCKAWAY BEACH BOARDWALK,Q163,Rockaway Playground - M,Q163-19,Q,414,1
ROCKAWAY BEACH BOARDWALK,Q163,Rockaway Playground - N,Q163-20,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q163,Rockaway Beach Playground,Q163-21,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q163,Rockaway Beach 05a,Q163-ZN05A,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q163,Rockaway Beach 05b,Q163-ZN05B,Q,414,4
ROCKAWAY BEACH & BOARDWALK,Q163,Rockaway Beach 06a,Q163-ZN06A,Q,414,2
ROCKAWAY BEACH & BOARDWALK,Q163,Rockaway Beach 06b,Q163-ZN06B,Q,414,2
ROCKAWAY BEACH & BOARDWALK,Q163,Rockaway Beach 07a,Q163-ZN07A,Q,414,1
ROCKAWAY BEACH & BOARDWALK,Q163,Rockaway Beach 07b,Q163-ZN07B,Q,414,4
ST MICHAELS PLAYGROUND,Q174A,St. Michael's Playground,Q174A,Q,401,5
BUSH PARK,Q205A,Big Bush Park,Q205A,Q,402,4
NATHAN WEIDENBAUM (LITTLE BUSH) PARK,Q205B,Nathan Weidenbaum Park,Q205B,Q,402,2
MACDONALD PARK (GREENSTREET),Q207,MacDonald Park,Q207,Q,406,2
MAPLE PLGD,Q211,Maple Playground,Q211,Q,407,2
QUEENS VALLEY PLGD (PS 164),Q212,Queens Valley Playground,Q212,Q,408,2
WHITEY FORD FIELD,Q215,Whitey Ford Field,Q215,Q,401,3
DUTCH KILLS PLGD ,Q218,Dutch Kills Playground,Q218,Q,401,3
ROCKAWAY FREEWAY,Q219,Beach 84,Q219-99,Q,414,2
NORELLI-HARGREAVES PLGD,Q220B,Norelli-Hargreaves Playground,Q220B,Q,412,2
DR CHARLES R DREW MEMORIAL PK,Q220C,Dr. Charles R. Drew Park,Q220C,Q,412,3
PLAYGROUND ONE FORTY,Q220E,Playground One Forty,Q220E,Q,412,1
MANTON PLAYGROUND,Q220G,Hoover - Manton Playgrounds,Q220G,Q,408,1
FARM PLGD,Q221,Farm Playground,Q221,Q,408,1
HALLETS COVE PLGD,Q226,Hallets Cove Playground (area A),Q226-01,Q,401,1
WESTBOURNE PLAYGROUND,Q266,Westbourne Playground,Q266,Q,414,1
GLENDALE PLAYGROUND,Q290,Uncle Vito E. Maranzano Glendale Playground,Q290,Q,405,1
STARR PLAYGROUND,Q291,Starr Playground,Q291,Q,405,2
SAUL WEPRIN PLGD,Q293,Saul Weprin Playground,Q293,Q,411,2
UTOPIA PLGD,Q294,Utopia Playground,Q294,Q,408,3
PAUL RAIMONDA PLGD,Q298,Paul Raimonda Playground,Q298,Q,401,3
KISSENA CORRIDOR PARK,Q300,Playground 146,Q300-02,Q,407,1
KISSENA CORRIDOR PARK,Q300,Silent Springs Playground,Q300-03,Q,407,1
KISSENA CORRIDOR PARK,Q300,Captain Mario Fajardo Park,Q300-04,Q,407,1
KISSENA CORRIDOR PARK,Q300,Rachel Carson Playground,Q300-05,Q,407,4
KISSENA CORRIDOR PARK,Q300,NYHMC Playground,Q300-06,Q,407,1
KISSENA CORRIDOR PARK,Q300A,Underhill Playground,Q300A-01,Q,408-411,2
HOLY COW PLGD (PS 179),Q300A1,Holy Cow Playground,Q300A1,Q,408,1
KISSENA CORRIDOR PARK,Q300A,Kissena Corridor East Zone 1,Q300A-ZN01,Q,408-411,2
KISSENA CORRIDOR PARK,Q300A,Kissena Corridor East Zone 3,Q300A-ZN03,Q,408-411,1
KISSENA CORRIDOR PARK,Q300,Kissena Corridor West Zone 2,Q300-ZN02,Q,407,1
KISSENA CORRIDOR PARK,Q300,Captain Mario Fajardo Park,Q300-ZN03,Q,407,1
EVERGREEN PARK (PS 68),Q302,Evergreen Park,Q302,Q,405,3
TRAVERS PARK,Q303,Travers Park,Q303,Q,403,4
EHRENREICH-AUSTIN ST PLGD,Q304,Ehrenreich-Austin Playground,Q304,Q,406,3
JOSEPH F MAFERA PARK,Q305,Mafera Park,Q305,Q,405,9
MOUNT PLGD,Q306,The Painter's Playground,Q306,Q,406,4
DELPHIN H GREENE PLGD (PS 176),Q307,Delphin H. Greene Playground,Q307,Q,413,2
BOWNE PLAYGROUND,Q308,Bowne Playground,Q308,Q,407,2
GLEN OAKS VILLAGE OVAL,Q310,Glen Oaks Oval,Q310,Q,413,4
ARVERNE PLGD,Q313,Arverne Playground,Q313,Q,414,2
FRESH MEADOWS PLGD (PS 173),Q314,Fresh Meadows Playground,Q314,Q,408,1
TALL OAK PLGD (PS 46),Q317,Tall Oak Playground,Q317,Q,411,1
80 PLGD,Q318,Playground Eighty LXXX,Q318,Q,413,3
ANNADALE PLGD,Q319,Annadale Playground,Q319,Q,406,1
VLEIGH PLGD,Q320,Vleigh Playground,Q320,Q,408,1
VAN ALST PLGD,Q321,Van Alst Playground,Q321,Q,401,1
BELLAIRE PLGD,Q322,Bellaire Playground,Q322,Q,413,1
BLAND PLGD,Q326,Bland Playground,Q326,Q,407,1
CASTLEWOOD PLGD (PS 186),Q327,Castlewood Playground,Q327,Q,413,3
BELLEROSE PLGD,Q328,Bellerose Playground,Q328,Q,413,2
POMONOK PLGD (PS 201),Q329,Pomonok Playground,Q329,Q,408,3
LOCUST MANOR PLGD (PS 15),Q330,Locust Manor Playground,Q330,Q,412,2
WOODTREE PLGD,Q332,Woodtree Playground,Q332,Q,401,3
RAVENSWOOD  PLGD,Q333,Ravenswood Playground,Q333,Q,401,2
PLAYGROUND TWENTY-ONE,Q334,Playground Twenty One,Q334,Q,407,1
RUSSELL SAGE PLGD,Q335,Russell Sage Playground,Q335,Q,406,2
JUDGE MOSES WEINSTEIN PLAYGROUND,Q336,Judge Moses Weinstein Playground,Q336,Q,408,3
MAURICE A FITZGERALD PLGD,Q337,Maurice A Fitzgerald Playground,Q337,Q,409,2
SY SEPLOWE PLGD (PS 94),Q338,Admiral Park,Q338,Q,411,2
CABBELL PARK/CAMBRIA PLGD,Q339,Cambria Playground,Q339,Q,413,5
LOU LODATI PLGD,Q340,Torsney Playground,Q340,Q,402,5
SHERRY PARK,Q341C,Sherry Dog Run,Q341C,Q,402,2
CROSSON GREEN,Q341E,Crosson Green,Q341E,Q,402,1
WINFIELD PLAZA,Q341F,Winfield Plaza,Q341F,Q,402,1
ELECTRIC  PLGD,Q342,Electric Playground,Q342,Q,408,3
WHITESTONE PLGD (PS 193),Q343,Whitestone Playground,Q343,Q,407,2
EMERALD PLGD (PS 200),Q344,Emerald Playground,Q344,Q,408,3
REDFERN PLAYGROUND,Q345,Redfern Playground,Q345,Q,414,3
CHALLENGE PLGD (PS 187) 251 ST PLGD,Q346,Challenge Playground,Q346,Q,411,3
COLDEN PLGD (PS 214),Q347,Colden Playground,Q347,Q,407,2
GRAND CENTRAL PLGD,Q348,Willow Lake Playground,Q348,Q,406,1
TELEPHONE PLAYGROUND (PS 205),Q349,Telephone Playground,Q349,Q,411,2
PETER'S FIELD,Q351,Peters Field,Q351,Q,412,3
HILLSIDE PARK (JHS 172),Q352,Hillside Park,Q352,Q,413,2
PLAYGROUND SEVENTY-FIVE,Q354,Playground Seventy Five,Q354,Q,408,1
ALLEY PARK (PS 213),Q356,Alley Park,Q356,Q,411,3
REAL GOOD PARK,Q357B,Real Good Park,Q357B,Q,406,2
TURTLE PLAYGROUND,Q357G,Turtle Playground,Q357G,Q,407,1
GUNN PARK (PS 18),Q358,Detective William T. Gunn Park,Q358,Q,413,2
HAGGERTY PARK,Q359,Haggerty Park,Q359,Q,412,2
OLIVER TRIANGLE,Q360G,Whitefish Triangle,Q360G,Q,405,1
CROWLEY PLGD,Q360J,Crowley Playground,Q360J,Q,404,2
FRONTERA PARK,Q360M,Frontera Park,Q360M,Q,405,2
HOFFMAN PARK,Q360N,Hoffman Park,Q360N,Q,404,3
C C MOORE HOMESTEAD PARK,Q361,Moore Homestead Playground,Q361,Q,404,2
PLAYGROUND 90,Q362,Playground Ninety,Q362,Q,403,1
NORTHERN PLGD,Q363,Northern Playground,Q363,Q,403,3
MARIE CURIE PARK (JHS 158),Q364,Marie Curie Park,Q364,Q,411,3
BULOVA PARK,Q366,Bulova Park,Q366,Q,403,2
HAMMEL PLAYGROUND,Q367,Hammel Playground,Q367,Q,414,2
LOUIS PASTEUR PARK,Q369,Louis Pasteur Park,Q369,Q,411,4
FREEDOM SQUARE,Q370,Freedom Square Playground,Q370,Q,408,1
EAST ELMHURST PLGD (PS 127),Q373,East Elmhurst Playground,Q373,Q,403,4
WILLETS POINT PLGD (PS 209),Q375,Willets Point Playground,Q375,Q,407,2
PLGD 62 (PS 220),Q377,Playground Sixty Two LXII,Q377,Q,406,2
AMPERE PLAYGROUND,Q378,Ampere Playground,Q378,Q,409,1
BRIARWOOD PLAYGROUND (JHS 217),Q379,Briarwood Playground,Q379,Q,408,2
FRANCIS LEWIS PLGD (PS 130),Q381,Francis Lewis Playground,Q381,Q,411,2
JHS 198 PLGD,Q382,Cardozo Playground,Q382,Q,414,2
DITMARS PARK,Q385,Ditmars Park,Q385,Q,401,2
CENTREVILLE PLGD,Q386,Centreville Playground,Q386,Q,410,2
PARK (BAYSIDE HS ATHLETIC FLD),Q387A,Bayside Fields,Q387A,Q,411,2
PARK (230 ST),Q388,Linnaeus Park,Q388,Q,411,1
BAYSIDE PLGD (JHS 180),Q389,Bayside Playground,Q389,Q,414,1
CLINTONVILLE PLGD (JHS 194),Q390,Clintonville Playground,Q390,Q,407,2
JOSEPH AUSTIN PLGD,Q391,Joseph Austin Playground,Q391,Q,408,4
IDLEWILD PARK,Q392,Idlewild Park Zone 1,Q392-ZN01,Q,413,3
CONCH PLGD (PS 105),Q394,Conch Playground,Q394,Q,414,1
MONTBELLIER PARK,Q396,Montbellier Park,Q396,Q,412,5
AUBURNDALE PLGD,Q397,Auburndale Playground,Q397,Q,407,2
ROSEMARY'S PLGD (JHS 93),Q398,Rosemary's Playground,Q398,Q,405,2
BAY TERRACE PLGD (PS 169),Q399,Bay Terrace Playground,Q399,Q,407,1
OAKLAND GARDENS (PS 203),Q400,Oakland Gardens,Q400,Q,411,2
LOST BATTALION HALL,Q401,Lost Battalion Hall Recreation Center,Q401,Q,406,1
LATIMER PLGD,Q402,Latimer Playground,Q402,Q,412,2
BEACH CHANNEL PLGD (PS 183),Q403,Beach Channel Playground,Q403,Q,414,1
PS 147 PLGD,Q404,East Springfield Playground,Q404,Q,413,2
OCEAN PLAYGROUND,Q407,Lannett Playground,Q407,Q,414,1
HAROLD SCHNEIDERMAN PLAYGROUND (PS 232),Q408,Harold Schneiderman Playground,Q408,Q,410,3
HINTON PARK,Q410,Hinton Park,Q410,Q,403,5
ROCHDALE PARK (JHS 72),Q413,Rochdale Park,Q413,Q,412,5
ROCHDALE PARK (JHS 72),Q413,Rochdale Park (JHS 72),Q413-02,Q,412,4
JHS 202 / GODDARD,Q414,Rocket Park,Q414,Q,410,2
LOUIS ARMSTRONG PLGD ,Q415,Louis Armstrong Playground,Q415,Q,403,2
HART PLAYGROUND,Q419,Hart Playground,Q419,Q,407,1
WALTER WARD PLGD (PS 207),Q421,Walter Ward Playground,Q421,Q,410,2
SEASIDE PLGD (PS 225),Q422,Seaside Playground,Q422,Q,414,2
REIFF PLGD,Q423,Reiff Playground,Q423,Q,405,3
YELLOWSTONE MUNICIPAL PARK,Q425,Yellowstone Park,Q425,Q,406,3
NORTH ROCHDALE PLGD (PS 30),Q426,North Rochdale Playground,Q426,Q,412,1
SOUTH ROCHDALE PLGD (PS 80),Q427,South Rochdale Playground,Q427,Q,412,2
HORACE HARDING PLGD (PS 20),Q428,Horace Harding Playground,Q428,Q,406,3
SPIRIT PLAYGROUND (PS 76),Q429,Spirit Playground,Q429,Q,401,3
SUNRISE PLGD (PS 195),Q430,Sunrise Playground,Q430,Q,413,1
LONG ISLAND MEWS,Q434,Long Island Mews,Q434,Q,402,1
ATHENS SQ ,Q436,Athens Square,Q436,Q,401,3
MURRAY HILL PLGD ,Q437,Murray Hill Playground,Q437,Q,407,1
ALMEDA PLGD (PS 42),Q443,Almeda Playground,Q443,Q,414,2
